# Function List for Skullmonkeys (SLES-01090)
# Auto-generated by Ghidra script
#
# Format: address | size | module | submodule | name
#

0x800149E8 |   180 | Game/RENDER     | vram            | InitVRAMSlotArray
0x80014A9C |   604 | Game/RENDER     | vram            | FindVRAMSlotBySize
0x80014CF8 |   892 | Game/RENDER     | vram            | AllocateVRAMSlotAligned
0x80015074 |    80 | Game/RENDER     | vram            | FindFreeVRAMSlotEntry
0x800150C4 |   112 | Game/RENDER     | vram            | GetMaxVRAMSlotSize
0x80015134 |   752 | Game/RENDER     | vram            | FreeAndCoalesceVRAMSlot
0x80015424 |    16 | Game/RENDER     | -               | StubEmpty
0x80015434 |     8 | Game/RENDER     | -               | StubVibrateOff
0x8001543C |    48 | Game/RENDER     | -               | InitBasicEntityWithVtable
0x8001546C |   424 | Game/RENDER     | sprite          | InitSpriteRenderContext
0x80015614 |   144 | Game/RENDER     | sprite          | InitSpriteContextDefaults
0x800156A4 |   192 | Game/RENDER     | -               | FreeTextureResource
0x80015764 |  1704 | Game/RENDER     | sprite          | RenderSpriteOrScaledQuad
0x80015E0C |   168 | Game/RENDER     | vram            | UploadTextureToVRAM
0x80015EB4 |   360 | Game/RENDER     | vram            | UploadCLUTToVRAM
0x8001601C |  1108 | Game/RENDER     | tilemap         | InitTilemapLayerRendering
0x80016470 |   188 | Game/RENDER     | -               | FreeMultiAllocResource
0x8001652C |   120 | Game/RENDER     | tilemap         | RenderTilemapLayerWithScroll
0x800165A4 |  1316 | Game/RENDER     | tilemap         | RenderTilemapHorizontalScroll
0x80016AC8 |  1312 | Game/RENDER     | tilemap         | RenderTilemapVerticalScroll
0x80016FE8 |   340 | Game/RENDER     | tilemap         | SetupTilemapPrimitives
0x8001713C |  1028 | Game/RENDER     | tilemap         | RenderTilemapSprites16x16
0x80017540 |  1276 | Game/RENDER     | tilemap         | InitTilemapLayer16x16
0x80017A3C |   188 | Game/RENDER     | -               | FreeResourceType2
0x80017AF8 |   532 | Game/RENDER     | tilemap         | RenderTilemapPrimitivesWithBounds
0x80017D0C |  1028 | Game/RENDER     | tilemap         | InitTileLayerPrimitives
0x80018110 |   236 | Game/RENDER     | -               | FreeResourceType3
0x800181FC |  1696 | Game/RENDER     | tilemap         | RenderTilemapWithWrapAround
0x8001889C |    68 | Game/RENDER     | sprite          | InitSpriteObject
0x800188E0 |   760 | Game/RENDER     | -               | SubmitPrimitiveBufferToGPU
0x80018D00 |    76 | Game/RENDER     | vram            | SetSpriteTPageFromVRAMCoords
0x80018D54 |    28 | Game/RENDER     | layer           | ClearAllLayerRenderSlots
0x80018D70 |    32 | Game/RENDER     | layer           | ClearLayerRenderSlotsFromIndex
0x80018D90 |    76 | Game/RENDER     | layer           | DestroyLayerRendererObject
0x80018DDC |  1024 | Game/RENDER     | vram            | LoadSpriteFramesToVRAM
0x800191DC |    92 | Game/RENDER     | vram            | LoadSpriteHashArrayToVRAM
0x80019238 |   300 | Game/RENDER     | layer           | FreeLayerRenderSlot
0x80019364 |   112 | Game/RENDER     | layer           | FreeLayerSlotByEntityPointer
0x800193D4 |   160 | Game/RENDER     | layer           | FreeLayerSlotsByEntityList
0x80019474 |   128 | Game/RENDER     | layer           | FreeAllLayerRenderSlots
0x8001954C |    12 | Game/RENDER     | -               | ZeroEntityField
0x80019558 |    48 | Game/RENDER     | layer           | FindLayerSlotByEntityPointer
0x80019588 |    36 | Game/RENDER     | layer           | FindNextLayerSlotByEntityPointer
0x800195AC |     4 | Game/RENDER     | -               | FindOrderingTableEntryByValue
0x800195B0 |    92 | Game/RENDER     | -               | FindOrderingTableSlotById
0x8001963C |    20 | Game/RENDER     | sprite          | GetSpriteFrameCount
0x80019650 |    40 | Game/RENDER     | sprite          | GetSpriteFrameDataByIndex
0x80019678 |    96 | Game/RENDER     | sprite          | SetupSpriteFromFrame
0x800196D8 |    40 | Game/RENDER     | layer           | FreeAllLayerRenderSlotsWrapper
0x80019700 |    72 | Game/RENDER     | layer           | ClearAllLayerRenderSlots
0x80019748 |    72 | Game/RENDER     | -               | InitMenuEntityWithVtable
0x80019790 |   212 | Game/RENDER     | sprite          | InitMenuSpriteRenderContext
0x80019864 |   184 | Game/RENDER     | -               | MenuEntityDestroyCallback
0x8001991C |   248 | Game/RENDER     | palette         | CLUTPaletteCycleTickCallback
0x80019A14 |   740 | Game/RENDER     | palette         | CLUTColorLerpTickCallback
0x80019CF8 |   124 | Game/RENDER     | palette         | UploadTextureOrClut
0x80019D74 |   440 | Game/RENDER     | -               | CopyTextureData
0x80019F2C |    92 | Game/RENDER     | -               | SetTexturePageParams
0x80019F88 |   320 | Game/RENDER     | palette         | InitCLUTColorLerpEffect
0x8001A0C8 |   280 | Game/ENTITY     | init            | InitEntityStruct
0x8001A1E0 |   140 | Game/ENTITY     | -               | FreeWithCallback
0x8001A26C |    48 | Game/ENTITY     | -               | ScaleXByEntityScale
0x8001A29C |    48 | Game/ENTITY     | -               | ScaleYByEntityScale
0x8001A2CC |    28 | Game/ENTITY     | -               | GetWorldPositionX
0x8001A2E8 |    28 | Game/ENTITY     | -               | GetWorldPositionY
0x8001A304 |     8 | Game/ENTITY     | -               | CalculateParallaxXOffset
0x8001A30C |    48 | Game/ENTITY     | -               | CalculateParallaxXOffsetAlt
0x8001A33C |    28 | Game/ENTITY     | -               | WorldToScreenX
0x8001A358 |    84 | Game/ENTITY     | -               | WorldToScreenYWithParallax
0x8001A3AC |   156 | Game/ENTITY     | render          | CreateEntityRenderContext
0x8001A448 |    84 | Game/ENTITY     | -               | GetEntityScreenBounds
0x8001A49C |  1336 | Game/ENTITY     | -               | CalculateEntityScreenBounds
0x8001A9D4 |   224 | Game/ENTITY     | render          | CalculateEntityRenderBounds
0x8001AAB4 |    48 | Game/ENTITY     | -               | SetEntityFacingDirection
0x8001AB14 |  2096 | Game/ENTITY     | -               | UpdateParallaxLayerPosition
0x8001B360 |   144 | Game/ENTITY     | -               | CheckPointInBox
0x8001B3F0 |   140 | Game/ENTITY     | -               | CheckBoxOverlap
0x8001B47C |   140 | Game/ENTITY     | -               | CollisionCheckWrapper
0x8001B508 |   140 | Game/ENTITY     | collision       | EntityBroadcastBoxCollision
0x8001B594 |   408 | Game/ENTITY     | collision       | CheckEntityPointCollisionWithOffsets
0x8001B72C |   408 | Game/ENTITY     | collision       | EntityBroadcastPointCollision
0x8001B8C4 |   104 | Game/ENTITY     | collision       | CheckEntityBoxCollision
0x8001B92C |  1156 | Game/ENTITY     | -               | IsEntityOffScreen
0x8001BDB0 |   248 | Game/ENTITY     | -               | IsEntityOffscreenLeft
0x8001BEA8 |    24 | Game/ENTITY     | -               | IsEntityOffscreenLeftSimple
0x8001BEC0 |   204 | Game/ENTITY     | -               | IsPositionOffscreenLeft
0x8001BF8C |   248 | Game/ENTITY     | -               | IsEntityOffscreenRight
0x8001C084 |    24 | Game/ENTITY     | -               | IsEntityOffscreenRightSimple
0x8001C09C |   220 | Game/ENTITY     | -               | IsPositionOffscreenRight
0x8001C178 |   492 | Game/ENTITY     | -               | IsEntityOffScreenY
0x8001C364 |   320 | Game/ENTITY     | callback        | SetupEntityScaleCallbacks
0x8001C4A4 |   272 | Game/ENTITY     | -               | PlayEntityPositionSound
0x8001C5B4 |   276 | Game/ENTITY     | -               | UpdateEntitySoundPanning
0x8001C6C8 |    88 | Game/ENTITY     | init            | InitFullEntityWithAnimation
0x8001C720 |   328 | Game/ENTITY     | init            | InitEntitySprite
0x8001C868 |   280 | Game/ENTITY     | init            | InitEntityWithSprite
0x8001C980 |   224 | Game/ENTITY     | init            | InitEntityAnimationState
0x8001CA60 |   204 | Game/ENTITY     | -               | DestroyEntityAndFreeMemory
0x8001CB2C |    92 | Game/ENTITY     | -               | AllocateEntityPixelBuffer
0x8001CB88 |   228 | Game/ENTITY     | callback        | EntityUpdateCallback
0x8001CC6C |   116 | Game/ENTITY     | animation       | ApplyAnimationPositionOffsets
0x8001CCE0 |   204 | Game/ENTITY     | init            | InitEntitySpriteAndPixelBuffer
0x8001CDAC |   248 | Game/ENTITY     | -               | AllocSpriteRenderContext
0x8001CEA4 |   384 | Game/ENTITY     | -               | CreateMultiFrameRenderContext
0x8001D024 |    92 | Game/ENTITY     | -               | AllocateSpriteContext
0x8001D080 |    48 | Game/ENTITY     | -               | SetEntitySpriteId
0x8001D0B0 |    16 | Game/ENTITY     | animation       | SetAnimationSpriteFlags
0x8001D0C0 |    48 | Game/ENTITY     | animation       | SetAnimationFrameIndex
0x8001D0F0 |    40 | Game/ENTITY     | animation       | SetAnimationFrameCallback
0x8001D118 |    88 | Game/ENTITY     | -               | SetAnimationLoopFrameIndex
0x8001D170 |    80 | Game/ENTITY     | animation       | SetAnimationLoopFrame
0x8001D1C0 |    48 | Game/ENTITY     | animation       | SetAnimationSpriteId
0x8001D1F0 |    40 | Game/ENTITY     | animation       | SetAnimationSpriteCallback
0x8001D218 |    40 | Game/ENTITY     | animation       | SetAnimationActive
0x8001D240 |    40 | Game/ENTITY     | render          | EntitySetRenderFlags
0x8001D290 |   556 | Game/ENTITY     | animation       | TickEntityAnimation
0x8001D4BC |   152 | Game/ENTITY     | animation       | AdvanceAnimationFrame
0x8001D554 |   500 | Game/ENTITY     | -               | ApplyPendingSpriteState
0x8001D748 |   576 | Game/ENTITY     | -               | UpdateSpriteFrameData
0x8001D988 |  3120 | Game/ENTITY     | render          | UpdateEntityRender
0x8001E5B8 |   244 | Game/ENTITY     | -               | UploadEntityTextureIfDirty
0x8001E6AC |   228 | Game/ENTITY     | -               | FindFrameIndexByValue
0x8001E790 |    40 | Game/ENTITY     | animation       | StartAnimationSequence
0x8001E7B8 |   368 | Game/ENTITY     | animation       | StepAnimationSequence
0x8001E928 |   388 | Game/ENTITY     | callback        | EntityProcessCallbackQueue
0x8001EAAC |   364 | Game/ENTITY     | state           | EntitySetState
0x8001EC18 |   168 | Game/ENTITY     | callback        | EntitySetCallback
0x8001ECC0 |   436 | Game/ENTITY     | -               | InitLayerRenderContext_Standard
0x8001EE74 |   120 | Game/ENTITY     | -               | EntityDestructor_FreeMultiAlloc
0x8001EEEC |   612 | Game/ENTITY     | -               | UpdateParallaxScrollWithWrap_Standard
0x8001F150 |   416 | Game/ENTITY     | -               | InitLayerRenderContext_Medium
0x8001F2F0 |   120 | Game/ENTITY     | -               | EntityDestructor_FreeResourceType2
0x8001F368 |   460 | Game/ENTITY     | -               | UpdateParallaxScrollWithWrap_Medium
0x8001F534 |   460 | Game/ENTITY     | -               | InitLayerRenderContext_Small
0x8001F700 |   120 | Game/ENTITY     | -               | EntityDestructor_FreeResourceType3
0x8001F778 |   460 | Game/ENTITY     | -               | UpdateParallaxScrollWithWrap_Small
0x8001F944 |   324 | Game/ENTITY     | -               | InitLayerScrollContext
0x8001FA88 |   132 | Game/ENTITY     | -               | FreeResourceType4
0x8001FB0C |   308 | Game/ENTITY     | tick            | EntityTick_AnimationFrameAdvance
0x8001FC88 |   104 | Game/ENTITY     | -               | UpdateEntityScreenPositionWithPalette
0x8001FCF0 |   440 | Game/ENTITY     | init            | InitPlayerEntity
0x8001FEA8 |   360 | Game/ENTITY     | callback        | EntityApplyMovementCallbacks
0x80020010 |   204 | Game/ENTITY     | -               | EntityDestructor_FreeWithChildRef
0x80020288 |     8 | Game/ENTITY     | -               | StubReturnZero
0x80020450 |   156 | Game/ENTITY     | -               | GetEntityYPosition
0x800204EC |   156 | Game/ENTITY     | -               | GetEntityXPosition
0x800205CC |   156 | Game/ENTITY     | -               | TransformYCoord
0x80020688 |   156 | Game/ENTITY     | -               | TransformXCoord
0x80020744 |   132 | Game/ENTITY     | callback        | InvokeEntityCallback
0x800207E4 |    52 | Game/ENTITY     | -               | EntityDestructor_Simple
0x80020818 |    48 | Game/ENTITY     | -               | FreeEntitySimple
0x80020848 |    36 | Game/ENTITY     | -               | BLB_ReadSectorsWrapper
0x8002086C |    68 | Game/ENTITY     | init            | InitEntityWithTable
0x800208B0 |   196 | Game/ENTITY     | -               | LoadBLBHeader
0x80020974 |   168 | Game/ENTITY     | -               | DestroyEntity
0x80020A1C |    88 | Game/ENTITY     | -               | RemoveFromUpdateQueue
0x80020A74 |   192 | Game/ENTITY     | -               | RemoveFromZOrderList
0x80020B34 |   320 | Game/ENTITY     | tick            | EntityTickLoopWithCamera
0x80020C74 |   180 | Game/ENTITY     | -               | DeferredEntityRemoval
0x80020D28 |   244 | Game/ENTITY     | -               | EntityRemoval
0x80020E1C |   100 | Game/ENTITY     | tick            | EntityTickLoop
0x80020E80 |   200 | Game/ENTITY     | -               | RenderEntities
0x80020F48 |     4 | Game/ENTITY     | callback        | EntityDestructCallback
0x80020F68 |   276 | Game/ENTITY     | -               | AddToZOrderList
0x8002107C |   276 | Game/ENTITY     | -               | AddToXPositionList
0x80021190 |   276 | Game/ENTITY     | -               | AddToUpdateQueue
0x800212A4 |   172 | Game/ENTITY     | -               | AddToEntityList
0x80021350 |    88 | Game/ENTITY     | -               | AddToEntityDefList
0x800213A8 |   488 | Game/ENTITY     | render          | AddEntityToSortedRenderList
0x80021590 |   488 | Game/ENTITY     | -               | AddLayerToRenderList_Standard
0x80021778 |   488 | Game/ENTITY     | -               | AddLayerToRenderList_Medium
0x80021960 |   488 | Game/ENTITY     | -               | AddLayerToRenderList_Small
0x80021B48 |    68 | Game/ENTITY     | -               | AddEntityToBothLists
0x80021B8C |   260 | Game/ENTITY     | -               | InsertIntoZSortedRenderList
0x80021D30 |   144 | Game/ENTITY     | -               | RemoveFromTickList
0x80021DC0 |   144 | Game/ENTITY     | -               | RemoveFromRenderList
0x80021E50 |   140 | Game/ENTITY     | -               | RemoveEntityFromUpdateQueue
0x80021EDC |   408 | Game/ENTITY     | -               | ChangeRenderZOrder
0x80022074 |   420 | Game/ENTITY     | -               | RemoveEntityFromAllLists
0x80022218 |    96 | Game/ENTITY     | -               | ClearTickList
0x80022278 |    96 | Game/ENTITY     | -               | FreeEntityListA
0x800222D8 |    96 | Game/ENTITY     | -               | FreeEntityListB
0x80022338 |   132 | Game/ENTITY     | -               | ClearEntityDefList
0x800223BC |   276 | Game/ENTITY     | -               | FreeEntityLists
0x800224D0 |   552 | Game/ENTITY     | -               | CheckPointCollisionAndNotify
0x800226F8 |   580 | Game/ENTITY     | collision       | CheckEntityCollision
0x8002293C |   544 | Game/ENTITY     | -               | BroadcastPointCollision
0x80022B5C |   568 | Game/ENTITY     | -               | BroadcastBoxCollision
0x80022D94 |   400 | Game/ENTITY     | -               | SendMessageToPlayer
0x80022F24 |   400 | Game/ENTITY     | -               | SendMessageToPlayerVariant
0x800230B4 |   224 | Game/ENTITY     | -               | TestPointAgainstEntities
0x80023194 |   256 | Game/ENTITY     | -               | CheckBoxCollision
0x800233BC |     4 | Game/ENTITY     | -               | CameraFollowTargetTick
0x800233C0 |  2556 | Game/ENTITY     | -               | UpdateCameraPositionSmooth
0x80023DBC |  1080 | Game/ENTITY     | -               | SetCameraPositionDirect
0x800241F4 |   148 | Game/ENTITY     | -               | GetTileAttributeAtPosition
0x80024288 |   480 | Game/ENTITY     | -               | SpawnOnScreenEntities
0x80024468 |   212 | Game/ENTITY     | -               | CleanupDeadEntities
0x8002453C |   128 | Game/ENTITY     | -               | IsEntityOffScreen_EntityLoop
0x800245BC |   188 | Game/ENTITY     | -               | CheckTriggerZoneCollision
0x80024678 |    88 | Game/ENTITY     | -               | LoadBGColorFromTileHeader
0x800246D0 |    80 | Game/ENTITY     | -               | LoadSecondaryColorFromTileHeader
0x80024720 |    88 | Game/ENTITY     | -               | InitPlayerSpawnPosition
0x80024778 |  1404 | Game/ENTITY     | -               | InitLayersAndTileState
0x80024CF4 |   208 | Game/ENTITY     | -               | InitTileAttributeState
0x80024DC4 |   368 | Game/ENTITY     | -               | LoadEntitiesFromAsset501
0x80024F34 |   404 | Game/ENTITY     | -               | InitAnimatedTileEntities
0x800250C8 |   376 | Game/ENTITY     | -               | AddPreInitEntitiesToList
0x80025240 |   904 | Game/ENTITY     | -               | LoadTileDataToVRAM
0x800255C8 |   104 | Game/ENTITY     | spawn           | GetEntitySpawnData
0x80025630 |    52 | Game/ENTITY     | spawn           | SetEntitySpawnData
0x80025664 |    84 | Game/ENTITY     | -               | SetSpawnOffsetGroup1
0x800256B8 |    84 | Game/ENTITY     | -               | SetSpawnOffsetGroup2
0x8002570C |    32 | Game/ENTITY     | -               | GetLevelAssetIndexFromGameState
0x8002572C |    32 | Game/ENTITY     | -               | GetLevelNameFromGameState
0x8002574C |    32 | Game/ENTITY     | -               | GetStageIndexFromGameState
0x80025930 |    52 | Game/ENTITY     | -               | EntityDestructor_Simple2
0x80025964 |    48 | Game/ENTITY     | -               | FreeEntitySimple2
0x80025994 |    64 | Game/ENTITY     | init            | InitHUDEntity
0x800259D4 |   424 | Game/ENTITY     | -               | UpdateInputState
0x80025B7C |    16 | Game/ENTITY     | init            | InitEntityDataPointers
0x80025BC0 |    68 | Game/ENTITY     | -               | EnableDemoPlaybackMode
0x80025C04 |   120 | Game/ENTITY     | -               | CRT_InitStaticData1
0x80025C7C |   460 | Game/ENTITY     | -               | BuildPasswordFromPlayerState
0x80025E48 |   648 | Game/ENTITY     | -               | DecodePassword
0x800260D0 |   140 | Game/ENTITY     | -               | initPlayerState
0x8002615C |     8 | Game/ENTITY     | -               | ClearHamsterCount
0x80026164 |   112 | Game/ENTITY     | -               | ResetPlayerCollectibles
0x800261D4 |   140 | Game/ENTITY     | -               | InitializePlayerState
0x80026260 |    76 | Game/ENTITY     | -               | AdvanceLevelAndClearCollectibles
0x800262AC |    32 | Game/ENTITY     | -               | DecrementPlayerLives
0x800262CC |   208 | Game/ENTITY     | -               | AddSwirlys
0x8002639C |   208 | Game/ENTITY     | -               | AddPlayerLives
0x8002646C |   424 | Game/ENTITY     | -               | AddPlayerOrbs
0x80026614 |   208 | Game/ENTITY     | -               | AddPhoenixHands
0x800266E4 |   208 | Game/ENTITY     | -               | AddPhartHeads
0x800267B4 |   208 | Game/ENTITY     | -               | AddUniverseEnemas
0x80026884 |   208 | Game/ENTITY     | -               | Add1970Icons
0x80026954 |   244 | Game/ENTITY     | -               | AdjustPlayerStats
0x80026A48 |   208 | Game/ENTITY     | -               | AddSuperWillies
0x80026B18 |    96 | Game/ENTITY     | -               | ResetPlayerUnlocksByLevel
0x80026B78 |   216 | Game/ENTITY     | init            | InitLevelTitleEntity
0x80026C50 |   136 | Game/ENTITY     | tick            | EntityTick_ScaleFadeOut
0x80026CD8 |   140 | Game/ENTITY     | tick            | EntityTick_ScaleFadeIn
0x80026D64 |    44 | Game/ENTITY     | -               | SetEntityScaleFadeOut
0x80026D90 |    28 | Game/ENTITY     | state           | ResetEntityScaleState
0x80026DAC |    76 | Game/ENTITY     | -               | SetEntityScaleFadeIn
0x80026DF8 |   316 | Game/ENTITY     | init            | InitCountdownTimerEntity
0x80026F34 |   216 | Game/ENTITY     | tick            | EntityTick_PlatformRideIdle
0x8002700C |   156 | Game/ENTITY     | -               | PlatformInterpolatePosition
0x800270A8 |   148 | Game/ENTITY     | -               | PlatformRideStartUp
0x8002713C |   144 | Game/ENTITY     | -               | PlatformRideStartDown
0x800271CC |    68 | Game/ENTITY     | -               | PlatformRideComplete
0x8002724C |   460 | Game/ENTITY     | init            | InitDigitDisplayEntity
0x80027418 |   460 | Game/ENTITY     | tick            | EntityTick_DigitDisplayUpdate
0x800275E4 |   216 | Game/ENTITY     | -               | UpdateDigitDisplay
0x800276BC |   420 | Game/ENTITY     | init            | InitHUDItemEntity
0x80027860 |   360 | Game/ENTITY     | tick            | EntityTick_HUDItemUpdate
0x800279C8 |    56 | Game/ENTITY     | -               | UpdateHUDItemVisibility
0x80027A00 |   440 | Game/ENTITY     | init            | InitEntity_8c510186
0x80027BB8 |   316 | Game/ENTITY     | -               | PlatformOscillateWithBobbingTick
0x80027CF4 |   424 | Game/ENTITY     | init            | InitTimerDisplayEntity
0x80027E9C |   316 | Game/ENTITY     | -               | PlatformOscillateWithRotationTick
0x80028008 |    96 | Game/ENTITY     | init            | InitFadeOverlayEntity
0x80028068 |   144 | Game/ENTITY     | render          | EntityDestructor_RemoveFromRenderList
0x800280F8 |   172 | Game/ENTITY     | -               | TriggerFadeTransition
0x800281A4 |  8660 | Game/ENTITY     | -               | CreateMenuEntities
0x8002A378 |    32 | Game/OBJECT     | hud             | HUD_UpdateVisibilityWrapper
0x8002A398 |  2088 | Game/OBJECT     | hud             | UpdateHUDEntityVisibility
0x8002ABC0 |  1644 | Game/OBJECT     | hud             | EntityCollision_HUDItemActivate
0x8002B22C |  2408 | Game/OBJECT     | hud             | ShowPauseMenuHUD
0x8002BB94 |   596 | Game/OBJECT     | hud             | HidePauseMenuHUD
0x8002BDE8 |   164 | Game/OBJECT     | -               | ToggleMenuSelectionHighlight
0x8002BE8C |   356 | Game/OBJECT     | -               | ToggleMenuOptionState
0x8002BFF0 |  1336 | Game/OBJECT     | -               | EntityDestructor_DestroyAllChildEntities
0x8002C53C |   100 | Game/OBJECT     | -               | EntityDestructor_Type0
0x8002C5A0 |   100 | Game/OBJECT     | -               | EntityDestructor_Type1
0x8002C604 |   100 | Game/OBJECT     | -               | EntityDestructor_Type2
0x8002C668 |   100 | Game/OBJECT     | -               | EntityDestructor_Type3
0x8002C6CC |   100 | Game/OBJECT     | -               | EntityDestructor_Type4
0x8002C730 |   100 | Game/OBJECT     | -               | EntityDestructor_Type5
0x8002C7A4 |    52 | Game/OBJECT     | -               | EntityDestructor_Type6_Simple
0x8002C7D8 |    48 | Game/OBJECT     | -               | FreeEntitySimple3
0x8002C808 |   128 | Game/OBJECT     | decor           | InitPathDecorEntity
0x8002C888 |   120 | Game/OBJECT     | decor           | InitPathDecorEntityWithSprite
0x8002C900 |   108 | Game/OBJECT     | decor           | InitPathDecorNoData
0x8002C96C |   100 | Game/OBJECT     | decor           | InitPathDecorNoDataWithSprite
0x8002C9D0 |   480 | Game/OBJECT     | decor           | InitPathFollowingDecorEntity
0x8002CBB0 |   444 | Game/OBJECT     | decor           | UpdateDecorEntityTriggerColors
0x8002CD6C |   348 | Game/OBJECT     | decor           | DecorEntityTickWithOffscreenCheck
0x8002CEC8 |    40 | Game/OBJECT     | -               | EntityCollisionHandler_SpecialTrigger
0x8002CEF0 |    88 | Game/OBJECT     | -               | EntityCollision_FlagAndDispatch
0x8002CF48 |   116 | Game/OBJECT     | path            | EntityTick_PathFollowUpdate
0x8002CFBC |   324 | Game/OBJECT     | -               | EntityTick_EasedMovementInterpolation
0x8002D100 |   676 | Game/OBJECT     | decor           | InitDecorEntityWithScreenOffset
0x8002D3A4 |   208 | Game/OBJECT     | decor           | SpawnDecorParticleEffect
0x8002D474 |   212 | Game/OBJECT     | decor           | InitDecorEntityWithSprite
0x8002D548 |   128 | Game/OBJECT     | decor           | DecorEntity_CollectWithSwirlyEffect
0x8002D5C8 |   260 | Game/OBJECT     | hud             | InitDecorEntityWithHUDIcon
0x8002D6CC |   156 | Game/OBJECT     | -               | EntityDestructor_FreeRenderListAt120
0x8002D768 |   324 | Game/OBJECT     | collectible     | CollectibleOrbTickCallback
0x8002D8AC |   204 | Game/OBJECT     | -               | EntityRenderWithScaledPosition
0x8002D994 |   144 | Game/OBJECT     | -               | TriggerFadeOut
0x8002DA24 |   164 | Game/OBJECT     | decor           | InitSimpleDecorEntity
0x8002DAC8 |   276 | Game/OBJECT     | collectible     | CollectibleHaloTickCallback
0x8002DBDC |   612 | Game/OBJECT     | decor           | InitRandomColorDecorEntity
0x8002DE40 |   128 | Game/OBJECT     | collectible     | CollectibleClaySingleTickCallback
0x8002DEC0 |  1228 | Game/OBJECT     | decor           | InitPlatformDecorEntity
0x8002E38C |   532 | Game/OBJECT     | -               | CheckpointSwampTickCallback
0x8002E5A0 |   108 | Game/OBJECT     | decor           | DecorSetSpriteIdle
0x8002E60C |    80 | Game/OBJECT     | decor           | DecorSetSpriteActive
0x8002E65C |   176 | Game/OBJECT     | decor           | DecorStartAnimation
0x8002E70C |   176 | Game/OBJECT     | decor           | DecorStartAnimationAlt
0x8002E7BC |   180 | Game/OBJECT     | decor           | InitTransparentDecorEntity
0x8002E870 |   140 | Game/OBJECT     | collectible     | CollectibleExtraLifeTickCallback
0x8002E8FC |   180 | Game/OBJECT     | decor           | InitScaledDecorEntity
0x8002E9B0 |   140 | Game/OBJECT     | collectible     | CollectiblePhoenixHandTickCallback
0x8002EA3C |   512 | Game/OBJECT     | collectible     | InitPhartHeadCollectible
0x8002EC3C |   392 | Game/OBJECT     | collectible     | CollectiblePhartHeadTickCallback
0x8002EDC4 |   220 | Game/OBJECT     | -               | InitSparkleEntity
0x8002EEA0 |   240 | Game/OBJECT     | collectible     | CollectibleUniverseEnemaTickCallback
0x8002EF90 |   172 | Game/OBJECT     | decor           | InitSingleFrameDecorEntity
0x8002F03C |   396 | Game/OBJECT     | collectible     | TriggerCollectible100CTickCallback
0x8002F1C8 |   172 | Game/OBJECT     | decor           | InitAnimatedDecorEntityA
0x8002F274 |   396 | Game/OBJECT     | collectible     | TriggerCollectible100DTickCallback
0x8002F400 |   180 | Game/OBJECT     | decor           | InitFadeableDecorEntity
0x8002F4B4 |   296 | Game/OBJECT     | collectible     | Collectible1970IconTickCallback
0x8002F5DC |   180 | Game/OBJECT     | decor           | InitEntity_PathDecor1
0x8002F690 |   172 | Game/OBJECT     | collectible     | CollectibleHealthUpTickCallback
0x8002F73C |   168 | Game/OBJECT     | decor           | InitAnimatedDecorEntityB
